prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
464 608 zł,"62,13 m²",Apartamenty Liściasta | bud. 2 | mieszkanie 0_4,3,do wykończenia,Współrzędne dokładne,"Łódź, Radogoszcz, ul. Liściasta",51.816998,19.406075,parter/4,Zapytaj,pełna własność,taras,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"35,14 m²",1-pokojowe mieszkanie 35m2 + balkon Bez Prowizji,1,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Czerwonego Kapturka",51.73925,19.4071,2/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"83,15 m²",4-pokojowe mieszkanie 83m2 + balkon Bezpośrednio,4,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Czerwonego Kapturka",51.73925,19.4071,1/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
Zapytaj o cenę,"71,64 m²",3-pokojowe mieszkanie 71m2 + ogródek Bez Prowizji,3,do wykończenia,Współrzędne dokładne,"Łódź, Polesie, ul. Czerwonego Kapturka",51.73925,19.4071,parter/4,Zapytaj,pełna własność,"taras, ogródek",garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
355 400 zł,"51,14 m²",Mieszkanie M4 budynek 7A Osiedle Rzymska VI etap I,3,do wykończenia,Współrzędne dokładne,"ul. Teklinowska , Wieruszów, wieruszowski",51.315826,18.126423,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2025,blok,nie,"telewizja kablowa, internet, telefon","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,pierwotny
495 216 zł,72 m²,Osiedle Piotrkowska II | mieszkanie 7A,3,do wykończenia,Współrzędne dokładne,"ul. Piotrkowska , Aleksandrów Łódzki, zgierski",51.8208,19.320528,parter/1,Zapytaj,Zapytaj,ogródek,garaż/miejsce parkingowe,brak informacji,2023,szeregowiec,nie,"telewizja kablowa, internet",brak informacji,brak informacji,pierwotny
295 200 zł,"42,47 m²",Mieszkanie M7 budynek 7A Osiedle Rzymska VI etap I,2,do wykończenia,Współrzędne dokładne,"ul. Teklinowska , Wieruszów, wieruszowski",51.315826,18.126423,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2025,blok,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, domofon / wideofon",cegła,pierwotny
427 561 zł,"58,57 m²",2-pokojowe mieszkanie 58m2 + balkon Bez Prowizji,2,do wykończenia,Współrzędne dokładne,"Łódź, Górna, ul. Dzwonowa",51.713173,19.445054,1/2,Zapytaj,pełna własność,balkon,Zapytaj,0,0,0,0,0,0,0,0
659 000 zł,"74,68 m²",Osiedle Lavinova | mieszkanie 8A1 | ogródek 124 m²,3,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Lawinowa",51.768303,19.529734,parter/1,Zapytaj,Zapytaj,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,"internet, telefon",teren zamknięty,brak informacji,pierwotny
525 000 zł,"55,61 m²",Osiedle Lavinova | mieszkanie 8B3 | ogródek 179 m²,3,do wykończenia,Współrzędne dokładne,"Łódź, Widzew, ul. Lawinowa",51.768303,19.529734,parter/1,Zapytaj,Zapytaj,"ogródek, taras",garaż/miejsce parkingowe,brak informacji,2022,brak informacji,nie,"internet, telefon",teren zamknięty,brak informacji,pierwotny
