prize;surface;offer name;rooms ;standard;localization_info;localization_name;latitude;longitude;floor_number;rental_cost;form_of_property;extras;garage;availability;year_of_construction;type_of_building;elevator;media;security;building_material;market
561 148 zł;57,26 m²;Nowe mieszkania w centrum Bydgoszczy, Garbary 22;2;do wykończenia;Współrzędne dokładne;Bydgoszcz, Okole, ul. Garbary 22;53.127924;17.990736;3/3;Zapytaj;pełna własność;Zapytaj;garaż/miejsce parkingowe;brak informacji;2022;kamienica;tak;telewizja kablowa, internet;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon;brak informacji;pierwotny
346 120 zł;40,72 m²;Apartamenty w Samym Centrum z Widokiem na Wisłę;3;Zapytaj;Współrzędne dokładne;Grudziądz, Centrum, ul. Portowa;53.486796;18.746221;1/4;Zapytaj;pełna własność;balkon, ogródek, taras;garaż/miejsce parkingowe;brak informacji;2022;apartamentowiec;tak;telewizja kablowa, internet, telefon;system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;silikat;pierwotny
310 000 zł;41 m²;Gotowe | ost Pietro | Zielen;2;do wykończenia;Współrzędne dokładne;Toruń, Podgórz, ul. Kręta;52.98042;18.56853;3/3;300 zł;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;apartamentowiec;nie;brak informacji;drzwi / okna antywłamaniowe;silikat;pierwotny
354 088 zł;63,23 m²;Lipowa Park;3;do wykończenia;Współrzędne dokładne;ul. Lipowa , Inowrocław, inowrocławski;52.790356;18.277254;1;150 zł;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;szeregowiec;nie;brak informacji;drzwi / okna antywłamaniowe, teren zamknięty, rolety antywłamaniowe;pustak;pierwotny
905 000 zł;111,5 m²;Garden & Villa | funkcjonalne mieszkanie 2_C1';3;do wykończenia;Współrzędne dokładne;ul. Kolonijna , Niemcz, bydgoski;53.1952;18.04117;1/1;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
435 735 zł;63,15 m²;M3, 63m2 w stanie deweloperskim, osiedle zamknięte;3;do wykończenia;Współrzędne dokładne;ul. Szymborska , Inowrocław, inowrocławski;52.779366;18.27196;1/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2021;blok;tak;brak informacji;teren zamknięty, domofon / wideofon;silikat;pierwotny
Zapytaj o cenę;65,74 m²;Aura Towers | wyjątkowe mieszkanie C7.60;3;do wykończenia;Współrzędne dokładne;Bydgoszcz, Bartodzieje, ul. Fordońska 4;53.120323;18.037111;7;Zapytaj;Zapytaj;balkon;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
290 000 zł;58,64 m²;Mieszkania M34 58,64m2 Osiedle Słoneczna16;2;do zamieszkania;Współrzędne dokładne;ul. Juliusza Słowackiego , Aleksandrów Kujawski, aleksandrowski;52.870483;18.702179;parter/3;Zapytaj;pełna własność;balkon, ogródek;garaż/miejsce parkingowe;brak informacji;2020;blok;tak;telewizja kablowa, internet;teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe;cegła;pierwotny
267 000 zł;45 m²;Mieszkanie 45m2 Balkon 3 pokoje Nowoczesne z Windą;3;Zapytaj;Współrzędne dokładne;ul. Kościelna , Aleksandrów Kujawski, aleksandrowski;52.881339;18.692198;3/8;Zapytaj;pełna własność;balkon;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;internet, telefon;drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona;brak informacji;pierwotny
287 000 zł;48 m²;Nowe Mieszkanie 48m2 3 pokojowe Parking,Winda;3;Zapytaj;Współrzędne dokładne;ul. Kościelna , Aleksandrów Kujawski, aleksandrowski;52.881339;18.692198;3;300 zł;spółdzielcze wł. z KW;balkon;Zapytaj;brak informacji;2022;blok;tak;brak informacji;teren zamknięty;brak informacji;pierwotny
499 000 zł;54 m²;Tramwaj/Autobus/Najlepszy widok /Duży balkon10m2;3;do wykończenia;Współrzędne dokładne;Bielawy, Bydgoszcz, Bydgoszcz;53.135423;18.028542;2/8;300 zł;pełna własność;balkon, taras;garaż/miejsce parkingowe;brak informacji;2022;blok;tak;telewizja kablowa, internet, telefon;drzwi / okna antywłamaniowe, domofon / wideofon;pustak;pierwotny
377 251 zł;49 m²;Zimowe Zacisze 2-pok. na parterze z ogródkiem;2;do wykończenia;Współrzędne dokładne;Toruń, Stawki, ul. Zimowa;52.994096;18.637502;parter/2;Zapytaj;pełna własność;ogródek, taras;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
355 236 zł;44,41 m²;Zimowe Zacisze - 2-pokojowe z ogródkiem;2;do wykończenia;Współrzędne dokładne;Toruń, Stawki, ul. Zimowa;52.994096;18.637502;parter/2;Zapytaj;pełna własność;ogródek;garaż/miejsce parkingowe;0;0;0;0;0;0;0;0
299 000 zł;60,2 m²;Nowoczesne Osiedle Zacisze, Osiek k. Brodnicy;3;do wykończenia;Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.;Brodnica, brodnicki, kujawsko-pomorskie;53.25021;19.40285;3/3;Zapytaj;pełna własność;balkon;Zapytaj;brak informacji;2024;blok;nie;internet;teren zamknięty, domofon / wideofon, monitoring / ochrona;silikat;pierwotny
